,date,temperature,humidity,light_intensity,air_pressure
67,2021-07-03 20:00:00,21.0,21.0,21.0,21.0
68,2021-07-03 21:00:00,18.8,18.8,18.8,18.8
69,2021-07-03 22:00:00,18.1,18.1,18.1,18.1
70,2021-07-03 23:00:00,18.0,18.0,18.0,18.0
71,2021-07-03 00:00:00,17.4,17.4,17.4,17.4
72,2021-07-04 01:00:00,17.1,17.1,17.1,17.1
73,2021-07-04 02:00:00,17.0,17.0,17.0,17.0
74,2021-07-04 03:00:00,16.8,16.8,16.8,16.8
75,2021-07-04 04:00:00,17.0,17.0,17.0,17.0
76,2021-07-04 05:00:00,17.2,17.2,17.2,17.2
77,2021-07-04 06:00:00,17.5,17.5,17.5,17.5
78,2021-07-04 07:00:00,17.9,17.9,17.9,17.9
79,2021-07-04 08:00:00,18.6,18.6,18.6,18.6
80,2021-07-04 09:00:00,19.3,19.3,19.3,19.3
81,2021-07-04 10:00:00,20.8,20.8,20.8,20.8
82,2021-07-04 11:00:00,21.8,21.8,21.8,21.8
83,2021-07-04 12:00:00,21.5,21.5,21.5,21.5
84,2021-07-04 13:00:00,22.6,22.6,22.6,22.6
85,2021-07-04 14:00:00,23.5,23.5,23.5,23.5
86,2021-07-04 15:00:00,21.2,21.2,21.2,21.2
87,2021-07-04 16:00:00,17.5,17.5,17.5,17.5
88,2021-07-04 17:00:00,17.0,17.0,17.0,17.0
89,2021-07-04 18:00:00,16.8,16.8,16.8,16.8
90,2021-07-04 19:00:00,16.7,16.7,16.7,16.7
91,2021-07-04 20:00:00,16.3,16.3,16.3,16.3
92,2021-07-04 21:00:00,16.5,16.5,16.5,16.5
93,2021-07-04 22:00:00,16.4,16.4,16.4,16.4
94,2021-07-04 23:00:00,16.6,16.6,16.6,16.6
95,2021-07-04 00:00:00,16.7,16.7,16.7,16.7
96,2021-07-05 01:00:00,16.4,16.4,16.4,16.4
97,2021-07-05 02:00:00,15.4,15.4,15.4,15.4
98,2021-07-05 03:00:00,15.4,15.4,15.4,15.4
99,2021-07-05 04:00:00,15.4,15.4,15.4,15.4
100,2021-07-05 05:00:00,15.8,15.8,15.8,15.8
101,2021-07-05 06:00:00,15.8,15.8,15.8,15.8
102,2021-07-05 07:00:00,14.2,14.2,14.2,14.2
103,2021-07-05 08:00:00,14.7,14.7,14.7,14.7
104,2021-07-05 09:00:00,16.2,16.2,16.2,16.2
105,2021-07-05 10:00:00,16.3,16.3,16.3,16.3
106,2021-07-05 11:00:00,18.9,18.9,18.9,18.9
107,2021-07-05 12:00:00,19.7,19.7,19.7,19.7
108,2021-07-05 13:00:00,19.8,19.8,19.8,19.8
109,2021-07-05 14:00:00,20.6,20.6,20.6,20.6
110,2021-07-05 15:00:00,19.8,19.8,19.8,19.8
111,2021-07-05 16:00:00,19.8,19.8,19.8,19.8
112,2021-07-05 17:00:00,19.2,19.2,19.2,19.2
113,2021-07-05 18:00:00,18.9,18.9,18.9,18.9
114,2021-07-05 19:00:00,18.0,18.0,18.0,18.0
115,2021-07-05 20:00:00,17.2,17.2,17.2,17.2
116,2021-07-05 21:00:00,16.7,16.7,16.7,16.7
117,2021-07-05 22:00:00,16.4,16.4,16.4,16.4
118,2021-07-05 23:00:00,16.3,16.3,16.3,16.3
119,2021-07-05 00:00:00,16.5,16.5,16.5,16.5
120,2021-07-06 01:00:00,16.7,16.7,16.7,16.7
121,2021-07-06 02:00:00,17.3,17.3,17.3,17.3
122,2021-07-06 03:00:00,17.4,17.4,17.4,17.4
123,2021-07-06 04:00:00,17.3,17.3,17.3,17.3
124,2021-07-06 05:00:00,17.7,17.7,17.7,17.7
125,2021-07-06 06:00:00,18.2,18.2,18.2,18.2
126,2021-07-06 07:00:00,18.9,18.9,18.9,18.9
127,2021-07-06 08:00:00,19.9,19.9,19.9,19.9
128,2021-07-06 09:00:00,20.3,20.3,20.3,20.3
129,2021-07-06 10:00:00,20.6,20.6,20.6,20.6
130,2021-07-06 11:00:00,21.7,21.7,21.7,21.7
131,2021-07-06 12:00:00,22.2,22.2,22.2,22.2
132,2021-07-06 13:00:00,20.9,20.9,20.9,20.9
133,2021-07-06 14:00:00,20.7,20.7,20.7,20.7
134,2021-07-06 15:00:00,20.6,20.6,20.6,20.6
135,2021-07-06 16:00:00,19.6,19.6,19.6,19.6
136,2021-07-06 17:00:00,17.9,17.9,17.9,17.9
137,2021-07-06 18:00:00,16.1,16.1,16.1,16.1
138,2021-07-06 19:00:00,16.2,16.2,16.2,16.2
139,2021-07-06 20:00:00,15.2,15.2,15.2,15.2
140,2021-07-06 21:00:00,14.2,14.2,14.2,14.2
141,2021-07-06 22:00:00,13.6,13.6,13.6,13.6
142,2021-07-06 23:00:00,13.1,13.1,13.1,13.1
143,2021-07-06 00:00:00,13.2,13.2,13.2,13.2
144,2021-07-07 01:00:00,13.3,13.3,13.3,13.3
145,2021-07-07 02:00:00,13.0,13.0,13.0,13.0
146,2021-07-07 03:00:00,12.6,12.6,12.6,12.6
147,2021-07-07 04:00:00,12.6,12.6,12.6,12.6
148,2021-07-07 05:00:00,14.2,14.2,14.2,14.2
149,2021-07-07 06:00:00,15.7,15.7,15.7,15.7
150,2021-07-07 07:00:00,17.0,17.0,17.0,17.0
151,2021-07-07 08:00:00,17.6,17.6,17.6,17.6
152,2021-07-07 09:00:00,19.2,19.2,19.2,19.2
153,2021-07-07 10:00:00,21.0,21.0,21.0,21.0
154,2021-07-07 11:00:00,22.2,22.2,22.2,22.2
155,2021-07-07 12:00:00,21.9,21.9,21.9,21.9
156,2021-07-07 13:00:00,20.6,20.6,20.6,20.6
157,2021-07-07 14:00:00,20.2,20.2,20.2,20.2
158,2021-07-07 15:00:00,19.2,19.2,19.2,19.2
159,2021-07-07 16:00:00,20.3,20.3,20.3,20.3
160,2021-07-07 17:00:00,21.0,21.0,21.0,21.0
161,2021-07-07 18:00:00,21.4,21.4,21.4,21.4
162,2021-07-07 19:00:00,18.4,18.4,18.4,18.4
163,2021-07-07 20:00:00,16.6,16.6,16.6,16.6
164,2021-07-07 21:00:00,15.2,15.2,15.2,15.2
165,2021-07-07 22:00:00,14.2,14.2,14.2,14.2
166,2021-07-07 23:00:00,13.6,13.6,13.6,13.6
167,2021-07-07 00:00:00,12.9,12.9,12.9,12.9
168,2021-07-08 01:00:00,12.2,12.2,12.2,12.2
169,2021-07-08 02:00:00,12.1,12.1,12.1,12.1
170,2021-07-08 03:00:00,11.3,11.3,11.3,11.3
171,2021-07-08 04:00:00,11.6,11.6,11.6,11.6
172,2021-07-08 05:00:00,14.0,14.0,14.0,14.0
173,2021-07-08 06:00:00,16.9,16.9,16.9,16.9
174,2021-07-08 07:00:00,19.6,19.6,19.6,19.6
175,2021-07-08 08:00:00,21.7,21.7,21.7,21.7
176,2021-07-08 09:00:00,23.0,23.0,23.0,23.0
177,2021-07-08 10:00:00,21.4,21.4,21.4,21.4
178,2021-07-08 11:00:00,21.6,21.6,21.6,21.6
179,2021-07-08 12:00:00,21.9,21.9,21.9,21.9
180,2021-07-08 13:00:00,19.7,19.7,19.7,19.7
181,2021-07-08 14:00:00,20.7,20.7,20.7,20.7
182,2021-07-08 15:00:00,21.5,21.5,21.5,21.5
183,2021-07-08 16:00:00,21.6,21.6,21.6,21.6
184,2021-07-08 17:00:00,21.2,21.2,21.2,21.2
185,2021-07-08 18:00:00,18.9,18.9,18.9,18.9
186,2021-07-08 19:00:00,17.9,17.9,17.9,17.9
187,2021-07-08 20:00:00,16.8,16.8,16.8,16.8
188,2021-07-08 21:00:00,16.2,16.2,16.2,16.2
189,2021-07-08 22:00:00,15.6,15.6,15.6,15.6
190,2021-07-08 23:00:00,15.7,15.7,15.7,15.7
191,2021-07-08 00:00:00,15.3,15.3,15.3,15.3
192,2021-07-09 01:00:00,15.4,15.4,15.4,15.4
193,2021-07-09 02:00:00,15.1,15.1,15.1,15.1
194,2021-07-09 03:00:00,15.0,15.0,15.0,15.0
195,2021-07-09 04:00:00,14.3,14.3,14.3,14.3
196,2021-07-09 05:00:00,14.6,14.6,14.6,14.6
197,2021-07-09 06:00:00,16.4,16.4,16.4,16.4
198,2021-07-09 07:00:00,17.7,17.7,17.7,17.7
199,2021-07-09 08:00:00,19.0,19.0,19.0,19.0
200,2021-07-09 09:00:00,19.4,19.4,19.4,19.4
201,2021-07-09 10:00:00,20.2,20.2,20.2,20.2
202,2021-07-09 11:00:00,20.9,20.9,20.9,20.9
203,2021-07-09 12:00:00,22.3,22.3,22.3,22.3
204,2021-07-09 13:00:00,22.2,22.2,22.2,22.2
205,2021-07-09 14:00:00,21.6,21.6,21.6,21.6
206,2021-07-09 15:00:00,23.3,23.3,23.3,23.3
207,2021-07-09 16:00:00,22.6,22.6,22.6,22.6
208,2021-07-09 17:00:00,22.1,22.1,22.1,22.1
209,2021-07-09 18:00:00,20.9,20.9,20.9,20.9
210,2021-07-09 19:00:00,18.6,18.6,18.6,18.6
211,2021-07-09 20:00:00,17.3,17.3,17.3,17.3
212,2021-07-09 21:00:00,17.0,17.0,17.0,17.0
213,2021-07-09 22:00:00,15.8,15.8,15.8,15.8
214,2021-07-09 23:00:00,14.4,14.4,14.4,14.4
215,2021-07-09 00:00:00,14.7,14.7,14.7,14.7
216,2021-07-10 01:00:00,14.2,14.2,14.2,14.2
217,2021-07-10 02:00:00,14.1,14.1,14.1,14.1
218,2021-07-10 03:00:00,14.2,14.2,14.2,14.2
219,2021-07-10 04:00:00,13.8,13.8,13.8,13.8
220,2021-07-10 05:00:00,14.7,14.7,14.7,14.7
221,2021-07-10 06:00:00,15.1,15.1,15.1,15.1
222,2021-07-10 07:00:00,16.3,16.3,16.3,16.3
223,2021-07-10 08:00:00,18.0,18.0,18.0,18.0
224,2021-07-10 09:00:00,19.1,19.1,19.1,19.1
225,2021-07-10 10:00:00,20.0,20.0,20.0,20.0
226,2021-07-10 11:00:00,19.7,19.7,19.7,19.7
227,2021-07-10 12:00:00,21.1,21.1,21.1,21.1
228,2021-07-10 13:00:00,22.2,22.2,22.2,22.2
229,2021-07-10 14:00:00,22.2,22.2,22.2,22.2
230,2021-07-10 15:00:00,21.4,21.4,21.4,21.4
231,2021-07-10 16:00:00,21.5,21.5,21.5,21.5
232,2021-07-10 17:00:00,20.9,20.9,20.9,20.9
233,2021-07-10 18:00:00,20.5,20.5,20.5,20.5
234,2021-07-10 19:00:00,20.1,20.1,20.1,20.1
235,2021-07-10 20:00:00,17.8,17.8,17.8,17.8
236,2021-07-10 21:00:00,16.5,16.5,16.5,16.5
237,2021-07-10 22:00:00,15.4,15.4,15.4,15.4
238,2021-07-10 23:00:00,15.1,15.1,15.1,15.1
239,2021-07-10 00:00:00,14.6,14.6,14.6,14.6
240,2021-07-11 01:00:00,14.6,14.6,14.6,14.6
241,2021-07-11 02:00:00,14.8,14.8,14.8,14.8
242,2021-07-11 03:00:00,14.6,14.6,14.6,14.6
243,2021-07-11 04:00:00,14.3,14.3,14.3,14.3
244,2021-07-11 05:00:00,14.9,14.9,14.9,14.9
245,2021-07-11 06:00:00,15.6,15.6,15.6,15.6
246,2021-07-11 07:00:00,17.3,17.3,17.3,17.3
247,2021-07-11 08:00:00,19.5,19.5,19.5,19.5
248,2021-07-11 09:00:00,21.2,21.2,21.2,21.2
249,2021-07-11 10:00:00,20.9,20.9,20.9,20.9
250,2021-07-11 11:00:00,20.9,20.9,20.9,20.9
251,2021-07-11 12:00:00,22.2,22.2,22.2,22.2
252,2021-07-11 13:00:00,23.5,23.5,23.5,23.5
253,2021-07-11 14:00:00,23.8,23.8,23.8,23.8
254,2021-07-11 15:00:00,24.5,24.5,24.5,24.5
255,2021-07-11 16:00:00,24.3,24.3,24.3,24.3
256,2021-07-11 17:00:00,24.2,24.2,24.2,24.2
257,2021-07-11 18:00:00,23.0,23.0,23.0,23.0
258,2021-07-11 19:00:00,21.8,21.8,21.8,21.8
259,2021-07-11 20:00:00,20.0,20.0,20.0,20.0
260,2021-07-11 21:00:00,19.2,19.2,19.2,19.2
261,2021-07-11 22:00:00,18.3,18.3,18.3,18.3
262,2021-07-11 23:00:00,18.2,18.2,18.2,18.2
263,2021-07-11 00:00:00,18.2,18.2,18.2,18.2
264,2021-07-12 01:00:00,17.9,17.9,17.9,17.9
265,2021-07-12 02:00:00,17.2,17.2,17.2,17.2
266,2021-07-12 03:00:00,17.0,17.0,17.0,17.0
267,2021-07-12 04:00:00,17.1,17.1,17.1,17.1
268,2021-07-12 05:00:00,17.1,17.1,17.1,17.1
269,2021-07-12 06:00:00,17.9,17.9,17.9,17.9
270,2021-07-12 07:00:00,18.7,18.7,18.7,18.7
271,2021-07-12 08:00:00,20.4,20.4,20.4,20.4
272,2021-07-12 09:00:00,22.4,22.4,22.4,22.4
273,2021-07-12 10:00:00,22.5,22.5,22.5,22.5
274,2021-07-12 11:00:00,23.8,23.8,23.8,23.8
275,2021-07-12 12:00:00,23.0,23.0,23.0,23.0
276,2021-07-12 13:00:00,23.0,23.0,23.0,23.0
277,2021-07-12 14:00:00,23.3,23.3,23.3,23.3
278,2021-07-12 15:00:00,23.6,23.6,23.6,23.6
279,2021-07-12 16:00:00,22.9,22.9,22.9,22.9
280,2021-07-12 17:00:00,21.6,21.6,21.6,21.6
281,2021-07-12 18:00:00,20.9,20.9,20.9,20.9
282,2021-07-12 19:00:00,20.3,20.3,20.3,20.3
283,2021-07-12 20:00:00,19.8,19.8,19.8,19.8
284,2021-07-12 21:00:00,19.5,19.5,19.5,19.5
285,2021-07-12 22:00:00,19.1,19.1,19.1,19.1
286,2021-07-12 23:00:00,18.6,18.6,18.6,18.6
287,2021-07-12 00:00:00,18.7,18.7,18.7,18.7
288,2021-07-13 01:00:00,18.2,18.2,18.2,18.2
289,2021-07-13 02:00:00,18.2,18.2,18.2,18.2
290,2021-07-13 03:00:00,18.0,18.0,18.0,18.0
291,2021-07-13 04:00:00,18.0,18.0,18.0,18.0
292,2021-07-13 05:00:00,18.2,18.2,18.2,18.2
293,2021-07-13 06:00:00,18.6,18.6,18.6,18.6
294,2021-07-13 07:00:00,19.4,19.4,19.4,19.4
295,2021-07-13 08:00:00,19.4,19.4,19.4,19.4
296,2021-07-13 09:00:00,20.0,20.0,20.0,20.0
297,2021-07-13 10:00:00,19.8,19.8,19.8,19.8
298,2021-07-13 11:00:00,20.6,20.6,20.6,20.6
299,2021-07-13 12:00:00,20.8,20.8,20.8,20.8
300,2021-07-13 13:00:00,21.0,21.0,21.0,21.0
301,2021-07-13 14:00:00,20.7,20.7,20.7,20.7
302,2021-07-13 15:00:00,20.9,20.9,20.9,20.9
303,2021-07-13 16:00:00,20.9,20.9,20.9,20.9
304,2021-07-13 17:00:00,20.6,20.6,20.6,20.6
305,2021-07-13 18:00:00,20.1,20.1,20.1,20.1
306,2021-07-13 19:00:00,19.8,19.8,19.8,19.8
307,2021-07-13 20:00:00,19.3,19.3,19.3,19.3
308,2021-07-13 21:00:00,19.3,19.3,19.3,19.3
309,2021-07-13 22:00:00,19.4,19.4,19.4,19.4
310,2021-07-13 23:00:00,19.4,19.4,19.4,19.4
311,2021-07-13 00:00:00,19.4,19.4,19.4,19.4
312,2021-07-14 01:00:00,18.9,18.9,18.9,18.9
313,2021-07-14 02:00:00,18.6,18.6,18.6,18.6
314,2021-07-14 03:00:00,18.3,18.3,18.3,18.3
315,2021-07-14 04:00:00,18.2,18.2,18.2,18.2
316,2021-07-14 05:00:00,18.2,18.2,18.2,18.2
317,2021-07-14 06:00:00,18.3,18.3,18.3,18.3
318,2021-07-14 07:00:00,19.2,19.2,19.2,19.2
319,2021-07-14 08:00:00,20.3,20.3,20.3,20.3
320,2021-07-14 09:00:00,21.5,21.5,21.5,21.5
321,2021-07-14 10:00:00,21.5,21.5,21.5,21.5
322,2021-07-14 11:00:00,21.8,21.8,21.8,21.8
323,2021-07-14 12:00:00,21.2,21.2,21.2,21.2
324,2021-07-14 13:00:00,21.5,21.5,21.5,21.5
325,2021-07-14 14:00:00,23.0,23.0,23.0,23.0
326,2021-07-14 15:00:00,22.1,22.1,22.1,22.1
327,2021-07-14 16:00:00,21.4,21.4,21.4,21.4
328,2021-07-14 17:00:00,21.4,21.4,21.4,21.4
329,2021-07-14 18:00:00,20.8,20.8,20.8,20.8
330,2021-07-14 19:00:00,20.1,20.1,20.1,20.1
331,2021-07-14 20:00:00,19.8,19.8,19.8,19.8
332,2021-07-14 21:00:00,19.8,19.8,19.8,19.8
333,2021-07-14 22:00:00,19.3,19.3,19.3,19.3
334,2021-07-14 23:00:00,19.1,19.1,19.1,19.1
335,2021-07-14 00:00:00,19.0,19.0,19.0,19.0
336,2021-07-15 01:00:00,19.1,19.1,19.1,19.1
337,2021-07-15 02:00:00,19.1,19.1,19.1,19.1
338,2021-07-15 03:00:00,19.1,19.1,19.1,19.1
339,2021-07-15 04:00:00,19.1,19.1,19.1,19.1
340,2021-07-15 05:00:00,18.8,18.8,18.8,18.8
341,2021-07-15 06:00:00,18.6,18.6,18.6,18.6
342,2021-07-15 07:00:00,18.6,18.6,18.6,18.6
343,2021-07-15 08:00:00,18.7,18.7,18.7,18.7
344,2021-07-15 09:00:00,18.4,18.4,18.4,18.4
345,2021-07-15 10:00:00,18.5,18.5,18.5,18.5
346,2021-07-15 11:00:00,18.4,18.4,18.4,18.4
347,2021-07-15 12:00:00,18.9,18.9,18.9,18.9
348,2021-07-15 13:00:00,19.1,19.1,19.1,19.1
349,2021-07-15 14:00:00,18.8,18.8,18.8,18.8
350,2021-07-15 15:00:00,18.6,18.6,18.6,18.6
351,2021-07-15 16:00:00,19.4,19.4,19.4,19.4
352,2021-07-15 17:00:00,19.3,19.3,19.3,19.3
353,2021-07-15 18:00:00,18.9,18.9,18.9,18.9
354,2021-07-15 19:00:00,18.1,18.1,18.1,18.1
355,2021-07-15 20:00:00,17.5,17.5,17.5,17.5
356,2021-07-15 21:00:00,17.3,17.3,17.3,17.3
357,2021-07-15 22:00:00,16.9,16.9,16.9,16.9
358,2021-07-15 23:00:00,16.6,16.6,16.6,16.6
359,2021-07-15 00:00:00,16.3,16.3,16.3,16.3
360,2021-07-16 01:00:00,16.0,16.0,16.0,16.0
361,2021-07-16 02:00:00,15.6,15.6,15.6,15.6
362,2021-07-16 03:00:00,15.5,15.5,15.5,15.5
363,2021-07-16 04:00:00,15.2,15.2,15.2,15.2
364,2021-07-16 05:00:00,15.4,15.4,15.4,15.4
365,2021-07-16 06:00:00,15.8,15.8,15.8,15.8
366,2021-07-16 07:00:00,16.3,16.3,16.3,16.3
367,2021-07-16 08:00:00,16.7,16.7,16.7,16.7
368,2021-07-16 09:00:00,17.3,17.3,17.3,17.3
369,2021-07-16 10:00:00,17.7,17.7,17.7,17.7
370,2021-07-16 11:00:00,18.1,18.1,18.1,18.1
371,2021-07-16 12:00:00,18.5,18.5,18.5,18.5
372,2021-07-16 13:00:00,19.1,19.1,19.1,19.1
373,2021-07-16 14:00:00,19.5,19.5,19.5,19.5
374,2021-07-16 15:00:00,20.2,20.2,20.2,20.2
375,2021-07-16 16:00:00,19.4,19.4,19.4,19.4
376,2021-07-16 17:00:00,19.0,19.0,19.0,19.0
377,2021-07-16 18:00:00,18.7,18.7,18.7,18.7
378,2021-07-16 19:00:00,18.1,18.1,18.1,18.1
379,2021-07-16 20:00:00,17.7,17.7,17.7,17.7
380,2021-07-16 21:00:00,17.5,17.5,17.5,17.5
381,2021-07-16 22:00:00,17.0,17.0,17.0,17.0
382,2021-07-16 23:00:00,16.5,16.5,16.5,16.5
383,2021-07-16 00:00:00,15.1,15.1,15.1,15.1
384,2021-07-17 01:00:00,14.5,14.5,14.5,14.5
385,2021-07-17 02:00:00,14.3,14.3,14.3,14.3
386,2021-07-17 03:00:00,14.2,14.2,14.2,14.2
387,2021-07-17 04:00:00,14.7,14.7,14.7,14.7
388,2021-07-17 05:00:00,15.5,15.5,15.5,15.5
389,2021-07-17 06:00:00,16.9,16.9,16.9,16.9
390,2021-07-17 07:00:00,18.9,18.9,18.9,18.9
391,2021-07-17 08:00:00,20.7,20.7,20.7,20.7
392,2021-07-17 09:00:00,21.6,21.6,21.6,21.6
393,2021-07-17 10:00:00,22.2,22.2,22.2,22.2
394,2021-07-17 11:00:00,22.9,22.9,22.9,22.9
395,2021-07-17 12:00:00,23.5,23.5,23.5,23.5
396,2021-07-17 13:00:00,23.8,23.8,23.8,23.8
397,2021-07-17 14:00:00,23.8,23.8,23.8,23.8
398,2021-07-17 15:00:00,23.9,23.9,23.9,23.9
399,2021-07-17 16:00:00,23.4,23.4,23.4,23.4
400,2021-07-17 17:00:00,23.0,23.0,23.0,23.0
401,2021-07-17 18:00:00,21.9,21.9,21.9,21.9
402,2021-07-17 19:00:00,20.5,20.5,20.5,20.5
403,2021-07-17 20:00:00,18.3,18.3,18.3,18.3
404,2021-07-17 21:00:00,17.2,17.2,17.2,17.2
405,2021-07-17 22:00:00,16.3,16.3,16.3,16.3
406,2021-07-17 23:00:00,15.8,15.8,15.8,15.8
407,2021-07-17 00:00:00,15.0,15.0,15.0,15.0
408,2021-07-18 01:00:00,15.2,15.2,15.2,15.2
409,2021-07-18 02:00:00,15.3,15.3,15.3,15.3
410,2021-07-18 03:00:00,14.7,14.7,14.7,14.7
411,2021-07-18 04:00:00,15.0,15.0,15.0,15.0
412,2021-07-18 05:00:00,15.1,15.1,15.1,15.1
413,2021-07-18 06:00:00,17.1,17.1,17.1,17.1
414,2021-07-18 07:00:00,19.3,19.3,19.3,19.3
415,2021-07-18 08:00:00,20.8,20.8,20.8,20.8
416,2021-07-18 09:00:00,22.3,22.3,22.3,22.3
417,2021-07-18 10:00:00,23.8,23.8,23.8,23.8
418,2021-07-18 11:00:00,24.9,24.9,24.9,24.9
419,2021-07-18 12:00:00,25.1,25.1,25.1,25.1
420,2021-07-18 13:00:00,25.0,25.0,25.0,25.0
421,2021-07-18 14:00:00,24.3,24.3,24.3,24.3
422,2021-07-18 15:00:00,22.7,22.7,22.7,22.7
423,2021-07-18 16:00:00,21.9,21.9,21.9,21.9
424,2021-07-18 17:00:00,20.5,20.5,20.5,20.5
425,2021-07-18 18:00:00,19.8,19.8,19.8,19.8
426,2021-07-18 19:00:00,18.1,18.1,18.1,18.1
427,2021-07-18 20:00:00,16.3,16.3,16.3,16.3
428,2021-07-18 21:00:00,14.8,14.8,14.8,14.8
429,2021-07-18 22:00:00,14.3,14.3,14.3,14.3
430,2021-07-18 23:00:00,15.7,15.7,15.7,15.7
431,2021-07-18 00:00:00,15.8,15.8,15.8,15.8
432,2021-07-19 01:00:00,15.0,15.0,15.0,15.0
433,2021-07-19 02:00:00,14.0,14.0,14.0,14.0
434,2021-07-19 03:00:00,14.7,14.7,14.7,14.7
435,2021-07-19 04:00:00,15.5,15.5,15.5,15.5
436,2021-07-19 05:00:00,15.8,15.8,15.8,15.8
437,2021-07-19 06:00:00,16.4,16.4,16.4,16.4
438,2021-07-19 07:00:00,16.7,16.7,16.7,16.7
439,2021-07-19 08:00:00,17.4,17.4,17.4,17.4
440,2021-07-19 09:00:00,18.1,18.1,18.1,18.1
441,2021-07-19 10:00:00,18.0,18.0,18.0,18.0
442,2021-07-19 11:00:00,19.1,19.1,19.1,19.1
443,2021-07-19 12:00:00,19.2,19.2,19.2,19.2
444,2021-07-19 13:00:00,20.5,20.5,20.5,20.5
445,2021-07-19 14:00:00,19.1,19.1,19.1,19.1
446,2021-07-19 15:00:00,19.6,19.6,19.6,19.6
447,2021-07-19 16:00:00,18.2,18.2,18.2,18.2
448,2021-07-19 17:00:00,19.0,19.0,19.0,19.0
449,2021-07-19 18:00:00,17.9,17.9,17.9,17.9
